iso3_country,geometry_ref,combined_emissions,res_emissions,nonres_emissions,res_share,priority_score,priority_rank_global,priority_score_country,priority_rank_country,latest_end_time
IRN,ghs-fua_4845,7155670.951199999,6959035.284799999,196635.6664,0.9725203034431,20.258206556692006,233,0.9575339142427701,30,2025-07-31T00:00:00
CHN,gadm_CHN.15.7_1,27108313.90300001,21844463.68100001,5263850.222,0.8058215556734621,20.255897034344606,234,1.091677487758709,56,2025-07-31T00:00:00
IND,ghs-fua_9850,8309204.3951999955,7911930.513999995,397273.8812000002,0.9521886979420684,20.255674018105204,235,1.1822777398121054,6,2025-07-31T00:00:00
PAK,gadm_PAK.8.2_1,12380920.277599994,11145703.089999994,1235217.1876000008,0.9002321992303917,20.253542696771984,236,1.1888561756030418,6,2025-07-31T00:00:00
PAK,gadm_PAK.7.7_1,6987482.794400002,6814580.116000002,172902.67840000003,0.9752553697107392,20.253540653679785,237,1.1406618695538198,11,2025-07-31T00:00:00
IRN,gadm_IRN.18.6_1,8356347.372999999,7944073.148999998,412274.2240000001,0.9506633454070984,20.248279408264807,238,0.9646061721944057,25,2025-07-31T00:00:00
IRN,gadm_IRN.5.12_1,8885058.463399999,8374081.705599998,510976.75780000014,0.942490332516679,20.24775749952017,239,0.9675235907770816,22,2025-07-31T00:00:00
KAZ,ghs-fua_1510,11700193.109000005,10608463.637800002,1091729.4712,0.9066913288499296,20.246485119674023,240,1.147167363215546,6,2025-07-31T00:00:00
CHN,gadm_CHN.22.10_1,10238206.2496,9457638.410999998,780567.8385999999,0.9237593168597774,20.2457385524588,241,1.0510996559779116,132,2025-07-31T00:00:00
IRN,gadm_IRN.8.8_1,7854918.235800002,7527619.754400002,327298.4814,0.9583320320371652,20.24271705222722,242,0.9613511042702662,26,2025-07-31T00:00:00
PAK,ghs-fua_2034,12283900.565200005,11056528.414200002,1227372.1509999998,0.9000828650081134,20.242323785698574,243,1.1875580976171578,7,2025-07-31T00:00:00
IRN,gadm_IRN.13.6_1,6575447.881599999,6458433.248999999,117014.63259999998,0.9822043099258012,20.24088626823678,244,0.9525427215508585,33,2025-07-31T00:00:00
IRN,gadm_IRN.23.1_1,9633249.7286,8969462.5456,663787.183,0.9310941580773836,20.240116879399277,245,0.9710002364739421,21,2025-07-31T00:00:00
CHN,gadm_CHN.6.2_1,13679908.717000004,12121672.169000003,1558236.548,0.886093059519938,20.23787757399866,246,1.0630966453546344,112,2025-07-31T00:00:00
CHN,ghs-fua_10331,10323941.638599996,9510958.787399998,812982.8511999999,0.9212526688294757,20.231908650304206,247,1.0507447252300623,133,2025-07-31T00:00:00
CHN,ghs-fua_7094,13678655.626599995,12110380.404599996,1568275.222,0.885348731278074,20.230426558702945,248,1.062701392535161,113,2025-07-31T00:00:00
CHN,gadm_CHN.30.11_1,6122533.596800002,6063130.437400002,59403.15939999997,0.9902976180594504,20.22475842717431,249,1.0268847496043452,183,2025-07-31T00:00:00
ZAF,gadm_ZAF.3.1_1,10442175.6106,9593607.8506,848567.76,0.9187364978674936,20.221775284651137,250,1.1405615448899131,2,2025-07-31T00:00:00
PAK,gadm_PAK.8.6_1,5830580.5419999985,5810917.502999999,19663.038999999997,0.9966276018557056,20.22069309396117,251,1.1228511029503756,14,2025-07-31T00:00:00
CHN,gadm_CHN.30.2_1,6633456.372600001,6492215.483800001,141240.88880000002,0.9787077986397248,20.219257612201005,252,1.0303090727373903,180,2025-07-31T00:00:00
CHN,gadm_CHN.19.5_1,9491587.4138,8834584.6596,657002.7542000001,0.9307805190473438,20.218446852369127,253,1.0463709344379148,150,2025-07-31T00:00:00
CHN,gadm_CHN.22.3_1,7611855.210999999,7306369.382999999,305485.82800000004,0.959867099474181,20.21723417720219,254,1.0364754028931027,169,2025-07-31T00:00:00
IRN,gadm_IRN.28.9_1,6991499.1274,6790955.1438,200543.9836,0.9713160253694292,20.21702820787889,255,0.9544481138121896,31,2025-07-31T00:00:00
USA,gadm_USA.33.24_1,20412194.035199992,17028372.131199993,3383821.904000001,0.8342254684545553,20.206981351220193,256,0.9976148820034266,21,2025-07-31T00:00:00
CHN,gadm_CHN.31.8_1,9885553.6914,9135911.929,749641.7624000001,0.9241679539860114,20.205723483000707,257,1.0474939438809348,146,2025-07-31T00:00:00
IND,gadm_IND.29.17_1,6894827.589999996,6699397.274599996,195430.31539999993,0.97165551816213,20.20237474546436,258,1.1791667821843752,7,2025-07-31T00:00:00
CHN,ghs-fua_9711,25241943.064399995,20410612.458799995,4831330.605599999,0.8085991005813704,20.199878719746835,259,1.0858873853236692,66,2025-07-31T00:00:00
