iso3_country,geometry_ref,total_emissions,n_sources,latest_end_time
AUS,ghs-fua_1266,13109085.746800005,1,2025-07-31 00:00:00
CHN,gadm_CHN.30.16_1,13053399.680999994,1,2025-07-31 00:00:00
CHN,gadm_CHN.12.14_1,13035270.576799996,1,2025-07-31 00:00:00
CHN,gadm_CHN.16.10_1,12966690.3114,1,2025-07-31 00:00:00
IND,ghs-fua_7163,12963280.6428,1,2025-07-31 00:00:00
PAK,gadm_PAK.7.6_1,12929191.272000002,1,2025-07-31 00:00:00
CHN,gadm_CHN.9.2_1,12925544.462200003,1,2025-07-31 00:00:00
KAZ,gadm_KAZ.2.14_1,12908885.102999998,1,2025-07-31 00:00:00
USA,ghs-fua_6887,12902368.971599998,1,2025-07-31 00:00:00
CHN,gadm_CHN.1.12_1,12872750.585399995,1,2025-07-31 00:00:00
CHN,gadm_CHN.12.7_1,12858051.895200007,1,2025-07-31 00:00:00
CAN,ghs-fua_1276,12803490.7844,1,2025-07-31 00:00:00
USA,ghs-fua_6990,12794357.494800003,1,2025-07-31 00:00:00
CHN,gadm_CHN.19.4_1,12784100.714200001,1,2025-07-31 00:00:00
GBR,ghs-fua_4159,12764353.3842,1,2025-07-31 00:00:00
RUS,gadm_RUS.50.25_1,12744789.936599998,1,2025-07-31 00:00:00
USA,gadm_USA.10.43_1,12734236.541800005,1,2025-07-31 00:00:00
USA,ghs-fua_6851,12662800.404199997,1,2025-07-31 00:00:00
CHN,gadm_CHN.26.13_1,12645586.1006,1,2025-07-31 00:00:00
CHN,gadm_CHN.10.11_1,12636648.601800004,1,2025-07-31 00:00:00
OMN,gadm_OMN.11.1_1,12620649.322199998,1,2025-07-31 00:00:00
POL,ghs-fua_3222,12581079.471400006,1,2025-07-31 00:00:00
USA,gadm_USA.5.36_1,12581037.647399995,1,2025-07-31 00:00:00
USA,ghs-fua_6790,12549590.987599999,1,2025-07-31 00:00:00
OMN,ghs-fua_1110,12423385.831,1,2025-07-31 00:00:00
ESP,gadm_ESP.8.1_1,12411024.325399995,1,2025-07-31 00:00:00
OMN,ghs-fua_996,12394833.702600002,1,2025-07-31 00:00:00
NGA,ghs-fua_865,12336622.575000005,1,2025-07-31 00:00:00
JPN,gadm_JPN.19.29_1,12324251.631600002,1,2025-07-31 00:00:00
CHN,ghs-fua_9701,12266935.9702,1,2025-07-31 00:00:00
AGO,ghs-fua_506,12257695.039400008,1,2025-07-31 00:00:00
CHN,gadm_CHN.1.14_1,12227467.8258,1,2025-07-31 00:00:00
CHN,gadm_CHN.25.11_1,12188755.256599998,1,2025-07-31 00:00:00
ITA,ghs-fua_4333,12184968.903199999,1,2025-07-31 00:00:00
CHN,gadm_CHN.30.7_1,12172439.478400001,1,2025-07-31 00:00:00
CHN,gadm_CHN.6.2_1,12121672.169000003,1,2025-07-31 00:00:00
CHN,ghs-fua_7094,12110380.404599996,1,2025-07-31 00:00:00
USA,gadm_USA.44.15_1,12108282.002600003,1,2025-07-31 00:00:00
USA,gadm_USA.44.57_1,12102207.9592,1,2025-07-31 00:00:00
CHN,gadm_CHN.4.1_1,12068718.016199995,1,2025-07-31 00:00:00
CHN,gadm_CHN.22.8_1,12017659.157000002,1,2025-07-31 00:00:00
CHN,gadm_CHN.23.8_1,11991354.625800004,1,2025-07-31 00:00:00
CHN,gadm_CHN.17.4_1,11907459.517999997,1,2025-07-31 00:00:00
CHN,gadm_CHN.23.2_1,11860765.305999998,1,2025-07-31 00:00:00
CHL,ghs-fua_2072,11804826.859199997,1,2025-07-31 00:00:00
CHN,gadm_CHN.12.1_1,11789606.335600002,1,2025-07-31 00:00:00
FJI,gadm_FJI.2.2_1,11787460.976999998,1,2025-07-31 00:00:00
CAN,gadm_CAN.11.20_1,11781800.3552,1,2025-07-31 00:00:00
KAZ,ghs-fua_2096,11588848.6442,1,2025-07-31 00:00:00
CHN,gadm_CHN.22.6_1,11571705.397999998,1,2025-07-31 00:00:00
CHN,gadm_CHN.28.9_1,11567610.325,1,2025-07-31 00:00:00
CHN,gadm_CHN.14.1_1,11523007.593599997,1,2025-07-31 00:00:00
CHN,gadm_CHN.31.4_1,11493252.161799993,1,2025-07-31 00:00:00
CHN,gadm_CHN.14.12_1,11474981.165200002,1,2025-07-31 00:00:00
CHN,gadm_CHN.1.8_1,11459917.377199998,1,2025-07-31 00:00:00
CHN,gadm_CHN.6.9_1,11452308.245399993,1,2025-07-31 00:00:00
PAK,gadm_PAK.7.3_1,11407016.535999998,1,2025-07-31 00:00:00
BEL,gadm_BEL.2.1_1,11403540.037800001,1,2025-07-31 00:00:00
ESP,ghs-fua_3147,11391108.529599996,1,2025-07-31 00:00:00
CHN,ghs-fua_9725,11379738.830799997,1,2025-07-31 00:00:00
CHN,gadm_CHN.15.2_1,11365496.910600001,1,2025-07-31 00:00:00
CHN,gadm_CHN.25.5_1,11345618.6012,1,2025-07-31 00:00:00
BRA,ghs-fua_6567,11344154.093999999,1,2025-07-31 00:00:00
USA,ghs-fua_6942,11320054.6832,1,2025-07-31 00:00:00
DEU,ghs-fua_3580,11248687.817599999,1,2025-07-31 00:00:00
IRN,gadm_IRN.13.2_1,11239874.235400002,1,2025-07-31 00:00:00
CHN,gadm_CHN.10.3_1,11210939.889399998,1,2025-07-31 00:00:00
CAN,ghs-fua_1572,11148563.147,1,2025-07-31 00:00:00
PAK,gadm_PAK.8.2_1,11145703.089999994,1,2025-07-31 00:00:00
CHN,gadm_CHN.16.3_1,11114983.8114,1,2025-07-31 00:00:00
USA,gadm_USA.22.9_1,11100238.856400002,1,2025-07-31 00:00:00
CHN,gadm_CHN.14.3_1,11073992.571,1,2025-07-31 00:00:00
CHN,gadm_CHN.12.13_1,11066679.830000004,1,2025-07-31 00:00:00
PAK,ghs-fua_2034,11056528.414200002,1,2025-07-31 00:00:00
BEL,ghs-fua_1160,11031897.406999998,1,2025-07-31 00:00:00
CHN,gadm_CHN.6.8_1,10982639.792600002,1,2025-07-31 00:00:00
CHN,gadm_CHN.25.8_1,10975620.069600001,1,2025-07-31 00:00:00
