iso3_country,geometry_ref,combined_emissions,res_emissions,nonres_emissions,res_share,priority_score,priority_rank_global,priority_score_country,priority_rank_country,latest_end_time
COG,gadm_COG.7.2_1,55340.286399999946,55340.286399999946,0.0,1.0,14.197656848001726,27292,0.9551291797989507,11,2025-07-31T00:00:00
COG,gadm_COG.6.3_1,46337.555400000005,46305.758,31.797400000000017,0.999313787710087,13.962425023054918,29636,0.9353831521284638,12,2025-07-31T00:00:00
COG,gadm_COG.8.4_1,37327.3964,36955.8184,371.57800000000015,0.990045434832417,13.622884429352293,32950,0.9078029511109245,13,2025-07-31T00:00:00
COG,gadm_COG.4.6_1,34470.19820000003,34293.15760000003,177.04060000000007,0.9948639517831376,13.550046757960965,33639,0.9011285108131324,14,2025-07-31T00:00:00
COG,gadm_COG.3.1_1,33543.1566,33530.191600000006,12.965000000000002,0.9996134830077382,13.544386696989028,33695,0.9001226546564407,15,2025-07-31T00:00:00
COG,gadm_COG.1.6_1,30504.226999999995,30363.894999999997,140.33199999999997,0.9953995883914712,13.394847969196631,35122,0.8879906202111979,16,2025-07-31T00:00:00
COG,ghs-fua_532,28805.19479999999,28794.37119999999,10.823600000000008,0.9996242483317628,13.346534453455865,35552,0.8834489042924557,17,2025-07-31T00:00:00
COG,gadm_COG.12.1_1,36906.13519999998,34506.691599999984,2399.4436,0.9349852379015834,13.26078483908107,36338,0.8834210205327496,18,2025-07-31T00:00:00
COG,gadm_COG.3.2_1,28132.275000000016,28120.573800000016,11.701200000000004,0.9995840649218736,13.315564133857405,35837,0.880843581718775,19,2025-07-31T00:00:00
COG,gadm_COG.1.5_1,29002.684000000016,28450.805600000014,551.8784,0.980971471467951,13.24041866380551,36555,0.87658389828147,20,2025-07-31T00:00:00
COG,ghs-fua_382,26527.1808,26386.917800000003,140.26300000000003,0.9947124799631932,13.209436645685498,36835,0.87244295091329,21,2025-07-31T00:00:00
COG,gadm_COG.1.3_1,25347.014799999983,25340.368599999987,6.646200000000007,0.9997377916077124,13.180997055059647,37097,0.8694868061923978,22,2025-07-31T00:00:00
COG,ghs-fua_1579,22684.482999999993,22684.482999999993,0.0,1.0,13.038324628515914,38406,0.8574349314822426,23,2025-07-31T00:00:00
COG,ghs-fua_1485,19369.24619999999,19248.48819999999,120.7580000000001,0.993765477564119,12.796015078210011,40538,0.8377103261544948,24,2025-07-31T00:00:00
COG,gadm_COG.9.3_1,18360.612600000004,18318.825400000005,41.787199999999984,0.9977240846528184,12.750015754315772,40912,0.833393248816026,25,2025-07-31T00:00:00
COG,gadm_COG.4.3_1,15404.881800000005,15357.741600000005,47.14020000000002,0.996939918097911,12.517551933329262,42898,0.813891382387174,26,2025-07-31T00:00:00
COG,gadm_COG.9.2_1,13011.998800000008,13011.998800000008,0.0,1.0,12.315815257929659,44522,0.7965507356712195,27,2025-07-31T00:00:00
COG,ghs-fua_1386,11992.656200000009,11977.166000000008,15.490199999999993,0.9987083595375644,12.202494325166562,45426,0.7871452762596745,28,2025-07-31T00:00:00
COG,gadm_COG.3.3_1,9684.6982,9682.8532,1.8450000000000015,0.9998094932891146,11.93087823461174,47464,0.7641341961915032,29,2025-07-31T00:00:00
COG,gadm_COG.9.1_1,8595.472200000007,8595.472200000007,0.0,1.0,11.77683934541455,48540,0.7511324804472518,30,2025-07-31T00:00:00
COG,gadm_COG.8.6_1,8475.040199999998,8466.142999999998,8.897199999999993,0.9989501878704954,11.752800931250052,48699,0.7492237232567299,31,2025-07-31T00:00:00
COG,gadm_COG.8.3_1,8221.465800000002,8221.465800000002,0.0,1.0,11.719013044356306,48930,0.7462595916239546,32,2025-07-31T00:00:00
COG,gadm_COG.1.2_1,9174.4556,8617.825,556.6306,0.9393282147444256,11.529421446037311,50118,0.7370394034795917,33,2025-07-31T00:00:00
COG,gadm_COG.6.2_1,7286.974199999999,7286.974199999999,0.0,1.0,11.562175168527963,49928,0.7330432260911871,34,2025-07-31T00:00:00
COG,gadm_COG.4.1_1,6970.044199999998,6956.772799999999,13.2714,0.998095937469091,11.4942663738073,50326,0.7275327404462343,35,2025-07-31T00:00:00
COG,gadm_COG.5.4_1,6838.314200000001,6822.5798,15.734399999999994,0.9976990820339902,11.46738469054929,50469,0.725311675915759,36,2025-07-31T00:00:00
COG,gadm_COG.6.4_1,6323.192799999998,6323.192799999998,0.0,1.0,11.377778990367615,50948,0.7175045860749208,37,2025-07-31T00:00:00
COG,gadm_COG.4.4_1,5719.754599999997,5719.754599999997,0.0,1.0,11.247412798374585,51595,0.7065189281948014,38,2025-07-31T00:00:00
COG,gadm_COG.12.2_1,5125.9328000000005,5073.673000000001,52.259800000000034,0.9898048214756152,11.052687787058732,52431,0.6912452107916074,39,2025-07-31T00:00:00
COG,gadm_COG.4.2_1,4514.073399999999,4514.073399999999,0.0,1.0,10.93972973943241,52844,0.6805911875024286,40,2025-07-31T00:00:00
COG,gadm_COG.8.5_1,3221.971600000002,3221.031400000002,0.9402000000000004,0.9997081910964082,10.500062441407367,54101,0.6435739349470982,41,2025-07-31T00:00:00
COG,gadm_COG.12.3_1,3420.9198000000015,3287.3324000000016,133.58739999999997,0.9609498591577622,10.388671102244922,54347,0.638503274781428,42,2025-07-31T00:00:00
COG,gadm_COG.1.1_1,3014.934400000001,3014.934400000001,0.0,1.0,10.415164471696617,54295,0.6363872840283837,43,2025-07-31T00:00:00
COG,gadm_COG.4.5_1,2728.5540000000015,2728.5540000000015,0.0,1.0,10.285461556330102,54572,0.6254575189375479,44,2025-07-31T00:00:00
COG,gadm_COG.11.1_1,2563.9428000000003,2531.5310000000004,32.411800000000014,0.9873586103402932,10.145060289258602,54804,0.615033941925575,45,2025-07-31T00:00:00
COG,gadm_COG.11.6_1,2468.873799999999,2468.873799999999,0.0,1.0,10.155499035759108,54790,0.6145058775157652,46,2025-07-31T00:00:00
COG,gadm_COG.6.1_1,2417.3021999999996,2417.3021999999996,0.0,1.0,10.128067303493394,54839,0.6121942687994019,47,2025-07-31T00:00:00
COG,gadm_COG.5.3_1,2290.4218000000014,2290.4218000000014,0.0,1.0,10.058006110423188,54935,0.6062903738863448,48,2025-07-31T00:00:00
COG,gadm_COG.9.4_1,2236.4091999999996,2236.4091999999996,0.0,1.0,10.026996028815988,54984,0.6036772259362267,49,2025-07-31T00:00:00
