iso3_country,geometry_ref,total_emissions,n_sources,latest_end_time
BEL,ghs-fua_514,1892001.2723999994,1,2025-07-31 00:00:00
KOR,ghs-fua_2453,1889649.3904,1,2025-07-31 00:00:00
USA,gadm_USA.37.55_1,1883833.4446000003,1,2025-07-31 00:00:00
RUS,gadm_RUS.62.25_1,1881484.6371999998,1,2025-07-31 00:00:00
USA,gadm_USA.21.15_1,1873485.6664000005,1,2025-07-31 00:00:00
IND,gadm_IND.25.1_1,1870058.302,1,2025-07-31 00:00:00
USA,ghs-fua_6678,1867388.7976,1,2025-07-31 00:00:00
RUS,ghs-fua_4854,1863324.8162,1,2025-07-31 00:00:00
USA,gadm_USA.10.48_1,1862705.3832000003,1,2025-07-31 00:00:00
USA,ghs-fua_5804,1862100.3642,1,2025-07-31 00:00:00
CHN,gadm_CHN.23.5_1,1856728.2222,1,2025-07-31 00:00:00
CHN,gadm_CHN.31.1_1,1851484.7112,1,2025-07-31 00:00:00
BEL,ghs-fua_1656,1850315.8912,1,2025-07-31 00:00:00
UZB,ghs-fua_2481,1841388.0709999998,1,2025-07-31 00:00:00
CHN,gadm_CHN.15.6_1,1830263.1112000006,1,2025-07-31 00:00:00
RUS,gadm_RUS.62.29_1,1826300.2745999994,1,2025-07-31 00:00:00
USA,gadm_USA.14.50_1,1824312.0980000002,1,2025-07-31 00:00:00
ZAF,ghs-fua_3337,1824131.8976000003,1,2025-07-31 00:00:00
CHN,ghs-fua_10078,1819762.4650000003,1,2025-07-31 00:00:00
USA,ghs-fua_5865,1813522.2114000006,1,2025-07-31 00:00:00
ESP,gadm_ESP.1.8_1,1812281.3499999999,1,2025-07-31 00:00:00
USA,gadm_USA.5.39_1,1808615.7910000007,1,2025-07-31 00:00:00
FRA,gadm_FRA.13.3_1,1807760.7758,1,2025-07-31 00:00:00
USA,gadm_USA.50.13_1,1802326.6118000005,1,2025-07-31 00:00:00
USA,gadm_USA.31.2_1,1798028.1476000003,1,2025-07-31 00:00:00
ITA,gadm_ITA.13.6_1,1797711.7018000006,1,2025-07-31 00:00:00
JPN,gadm_JPN.19.29_1,1797594.6055999994,1,2025-07-31 00:00:00
DEU,gadm_DEU.5.1_1,1795934.1590000005,1,2025-07-31 00:00:00
RUS,gadm_RUS.43.1_1,1795187.335,1,2025-07-31 00:00:00
USA,gadm_USA.36.31_1,1794833.9170000004,1,2025-07-31 00:00:00
TWN,gadm_TWN.2.1_1,1793930.3042000004,1,2025-07-31 00:00:00
CHN,gadm_CHN.15.10_1,1790953.1746,1,2025-07-31 00:00:00
USA,gadm_USA.48.27_1,1785078.944,1,2025-07-31 00:00:00
TWN,ghs-fua_1897,1783915.4418000001,1,2025-07-31 00:00:00
USA,gadm_USA.33.15_1,1776494.0295999998,1,2025-07-31 00:00:00
USA,ghs-fua_6180,1775898.2812000006,1,2025-07-31 00:00:00
CHN,gadm_CHN.15.11_1,1772928.3319999995,1,2025-07-31 00:00:00
ITA,ghs-fua_4333,1767797.6419999995,1,2025-07-31 00:00:00
CAN,gadm_CAN.9.51_1,1755235.9092,1,2025-07-31 00:00:00
BEL,gadm_BEL.2.2_1,1748064.3860000004,1,2025-07-31 00:00:00
USA,gadm_USA.11.33_1,1747532.0068000003,1,2025-07-31 00:00:00
TUR,ghs-fua_3471,1742644.1724000005,1,2025-07-31 00:00:00
CHN,gadm_CHN.22.7_1,1741878.0371999997,1,2025-07-31 00:00:00
IRN,gadm_IRN.15.2_1,1740813.6418000003,1,2025-07-31 00:00:00
BEL,gadm_BEL.3.3_1,1740768.9798000006,1,2025-07-31 00:00:00
USA,gadm_USA.5.7_1,1730619.8164000004,1,2025-07-31 00:00:00
CHN,ghs-fua_9725,1729761.9295999992,1,2025-07-31 00:00:00
DEU,ghs-fua_4996,1727864.1294,1,2025-07-31 00:00:00
RUS,ghs-fua_5461,1727571.6792000001,1,2025-07-31 00:00:00
CHN,gadm_CHN.18.12_1,1727519.5262000002,1,2025-07-31 00:00:00
CAN,ghs-fua_2360,1723729.2410000006,1,2025-07-31 00:00:00
USA,ghs-fua_6821,1714428.1118000003,1,2025-07-31 00:00:00
JPN,gadm_JPN.33.27_1,1706369.1767999993,1,2025-07-31 00:00:00
GBR,gadm_GBR.1.44_1,1704230.0559999996,1,2025-07-31 00:00:00
